,address,latitude,longitude
0,289 BISHAN ST 24,1.35666114854932,103.844930577727
1,317 HOUGANG AVE 7,1.36529966178088,103.896454800013
2,402 HOUGANG AVE 10,1.37443833237067,103.896698366692
3,997A BUANGKOK CRES,1.38504599856502,103.881166649447
4,695 HOUGANG ST 61,1.37633401164513,103.887398856113
5,241 HOUGANG ST 22,1.35650868784233,103.891840640482
6,240 HOUGANG ST 22,1.3564226661287,103.890651695359
7,652 HOUGANG AVE 8,1.37240804310722,103.881598248704
8,523 HOUGANG AVE 6,1.37372091177119,103.890706989878
9,324 HOUGANG AVE 5,1.36750458591712,103.897418323346
10,17 HOUGANG AVE 3,1.36343443196468,103.890977580317
11,109 HOUGANG AVE 1,1.35532858945575,103.889376316331
12,124 HOUGANG AVE 1,1.35290792137123,103.886731553415
13,53 PIPIT RD,1.32399305603529,103.886692720017
14,105 ALJUNIED CRES,1.31946862097465,103.882751492944
15,349 UBI AVE 1,1.32582834326478,103.900581103781
16,661 HOUGANG AVE 4,1.37402568701988,103.882804051972
17,525 HOUGANG AVE 6,1.37482327911595,103.8913669297
18,673 CHOA CHU KANG CRES,1.40132802512812,103.748136094413
19,984B BUANGKOK LINK,1.38209501456331,103.880612695677
20,975 HOUGANG ST 91,1.37715967450289,103.879679968404
21,539 HOUGANG ST 52,1.37748508098977,103.890382070653
22,560 HOUGANG ST 51,1.38031493250493,103.889395003894
23,971 HOUGANG ST 91,1.37822993629766,103.879696313869
24,156 HOUGANG ST 11,1.35252680179377,103.879594937532
25,653 HOUGANG AVE 8,1.37283189824523,103.881247259389
26,477A UPP SERANGOON VIEW,1.37830875820742,103.903841957906
27,340 HOUGANG AVE 7,1.37014137094094,103.897850263624
28,697 HOUGANG ST 61,1.37554033809538,103.887475138873
29,376A HOUGANG ST 32,1.36346009799329,103.893576325679
30,965 HOUGANG AVE 9,1.37863450467064,103.877615544915
31,674 HOUGANG AVE 8,1.37217287844953,103.884645831522
32,507 HOUGANG AVE 8,1.37240648339621,103.887612440713
33,540 HOUGANG AVE 8,1.37781568057175,103.891282467147
34,346 UBI AVE 1,1.32598165523671,103.89967337593
35,4 JOO CHIAT RD,1.31540759085863,103.898940353146
36,2A GEYLANG SERAI,1.31699648623217,103.897748935672
37,12 TECK WHYE LANE,1.37946433280774,103.755671539991
38,319 CLEMENTI AVE 4,1.31738023737382,103.764787022864
39,426 CLEMENTI AVE 3,1.31158040643011,103.764211279777
40,640 CHOA CHU KANG ST 64,1.39780253841646,103.749623257764
41,690B CHOA CHU KANG CRES,1.40318377742922,103.751873055849
42,448 CHOA CHU KANG AVE 4,1.38013841525407,103.737337537627
43,273 CHOA CHU KANG AVE 2,1.37924870864955,103.743076786516
44,817C KEAT HONG LINK,1.37756652387037,103.748989532974
45,2B GEYLANG SERAI,1.31740511166912,103.89777455271
46,804B KEAT HONG CL,1.3731140372383,103.74188877037
47,625 CHOA CHU KANG ST 62,1.39863065232743,103.746034051085
48,683C CHOA CHU KANG CRES,1.40467861884756,103.746314893319
49,690C CHOA CHU KANG CRES,1.4026489125138,103.751931750242
50,417 CHOA CHU KANG AVE 4,1.38296498350584,103.741578052416
51,701 CHOA CHU KANG ST 53,1.39165394542409,103.746220667925
52,375 CLEMENTI AVE 4,1.31848805821585,103.766701548615
53,377 CLEMENTI AVE 5,1.31756398951141,103.767975202583
54,208A CLEMENTI AVE 6,1.3219234293777,103.762384826925
55,608 CLEMENTI WEST ST 1,1.30434110257324,103.766529796163
56,507 WEST COAST DR,1.31207968902337,103.760802118745
57,324 CLEMENTI AVE 5,1.31514159529226,103.766056205529
58,208B CLEMENTI AVE 6,1.32262137935118,103.762449443017
59,716 CLEMENTI WEST ST 2,1.30240953060904,103.762804760851
60,66 CIRCUIT RD,1.32653588159213,103.887672820976
61,70 CIRCUIT RD,1.32519591330303,103.888039969791
62,109 ALJUNIED CRES,1.31939291785822,103.884439876207
63,47 CIRCUIT RD,1.32577527145564,103.885703636114
64,59 CIRCUIT RD,1.3252487729987,103.886757553674
65,50 CIRCUIT RD,1.32488448306596,103.885571385532
66,25 EUNOS CRES,1.32340331604205,103.902375742055
67,124 GEYLANG EAST AVE 1,1.31838863767065,103.8866756731
68,17B CIRCUIT RD,1.32994002346249,103.889189084492
69,132 LOR AH SOO,1.35085299679097,103.88632991316
70,102 JURONG EAST ST 13,1.33609657873553,103.738219191663
71,241 JURONG EAST ST 24,1.3414812934447,103.742973359591
72,704 JURONG WEST ST 71,1.34079662973673,103.695183363683
73,684 RACE COURSE RD,1.31430707569496,103.856659538355
74,28 JLN BAHAGIA,1.32577955574857,103.858806901306
75,10C BENDEMEER RD,1.31584236197018,103.860644539729
76,9 JLN BATU,1.30283219012693,103.882979059119
77,859 JURONG WEST ST 81,1.34903742747576,103.696165156914
78,405 JURONG WEST ST 42,1.35422127854017,103.721439265395
79,673C JURONG WEST ST 65,1.34471213524955,103.701313082539
80,181 YUNG SHENG RD,1.33369206575684,103.721934875775
81,619 JURONG WEST ST 65,1.34151734586068,103.69989937466
82,685B JURONG WEST ST 64,1.34292038876781,103.704168834122
83,664B JURONG WEST ST 64,1.33835412965274,103.703585678772
84,624 JURONG WEST ST 61,1.34078438355043,103.697876125215
85,654B JURONG WEST ST 61,1.33616114819619,103.697939908081
86,517A JURONG WEST ST 52,1.34531761707387,103.721254306116
87,5 ST. GEORGE'S LANE,1.32318991590206,103.859696970213
88,105 TOWNER RD,1.3208130428228,103.861346713506
89,12 UPP BOON KENG RD,1.31423066717314,103.870061150868
90,98 WHAMPOA DR,1.32158068709129,103.854150953187
91,74 WHAMPOA DR,1.32471579654689,103.857752875203
92,6 BEACH RD,1.30399231690916,103.864419251804
93,38C BENDEMEER RD,1.32112027780383,103.866786871368
94,9 BOON KENG RD,1.31605118149851,103.861218698544
95,102 JLN RAJAH,1.32822306444761,103.851519753845
