,hawker_name,status,latitude,longtitude,feture
79,Sims Place Blk 49 (Sims Vista Market and Food Centre),Existing,1.31708335109102,103.879417030673,hawker
80,Smith Street Blk 335 (Chinatown Complex Market),Existing,1.28223514826381,103.843177616296,hawker
81,Taman Jurong Market and Food Centre,Existing,1.33458935951076,103.721519868629,hawker
82,Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre),Existing,1.3456395210229,103.944624481151,hawker
83,Tanglin Halt Market,Existing,1.30078931480841,103.797625756738,hawker
84,Tanjong Pagar Plaza Blk 6 (Blk 6 Tanjong Pagar Plaza Market and Food Centre),Existing,1.27661461066321,103.843166992138,hawker
85,Teban Garden Road Blk 37A (Teban Gardens Market and Food Centre),Existing,1.32084835041654,103.742891623681,hawker
86,Golden Mile Food Centre,Existing,1.30287548090781,103.863883249985,hawker
87,Haig Road Blk 13/14 (Haig Road Market and Cooked Food Centre),Existing,1.3151420505272,103.895609494855,hawker
88,Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre),Existing,1.28797543998733,103.829626834637,hawker
89,Holland Drive Blk 44 (Holland Drive Market and Food Centre),Existing,1.30811775909823,103.792773765463,hawker
90,Holland Village Market and Food Centre,Existing,1.31090802808558,103.794862936127,hawker
91,Hougang Ave 1 Blk 105 (Hougang 105 Hainanese Village Centre),Existing,1.35383739101169,103.890081064953,hawker
92,Hougang Street 21 Blk 209 (Kovan Hougang Market and Food Centre),Existing,1.35911942212642,103.885977616903,hawker
93,Jalan Batu Blk 4A (Blk 4A Jalan Batu Hawker Centre/Market),Existing,1.30241881353449,103.88394058022,hawker
94,Jalan Bukit Merah Blk 112 (Blk 112 Jalan Bukit Merah Market and Food Centre),Existing,1.28000481198881,103.826013285715,hawker
95,Jalan Bukit Merah Blk 6 (ABC Brickworks Market/Food Centre),Existing,1.28695275198944,103.808127999318,hawker
96,Adam Road Food Centre,Existing,1.32413422253318,103.814165010384,hawker
97,Aljunied Ave 2 Blk 117 (Blk 117 Aljunied Market and Food Centre),Existing,1.32064829234987,103.88701902611,hawker
98,Amoy Street Food Centre (Telok Ayer Food Centre),Existing,1.27921844263268,103.846606784092,hawker
99,Ang Mo Kio Ave 1 Blk 226D (Kebun Baru Market and Food Centre),Existing,1.36678764523637,103.839231344066,hawker
100,Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court),Existing,1.36410517096399,103.848254220438,hawker
101,Ang Mo Kio Ave 10 Blk 409 (Teck Ghee Square),Existing,1.36276891777383,103.855369790045,hawker
102,Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),Existing,1.36824049310006,103.856351437414,hawker
103,Ang Mo Kio Ave 10 Blk 527 (Cheng San Market and Cooked Food Centre),Existing,1.37276992816898,103.854482811591,hawker
104,Ang Mo Kio Ave 4 Blk 160/162 (Mayflower Market),Existing,1.37448912101909,103.839214290038,hawker
105,Ang Mo Kio Ave 4 Blk 628 (Ang Mo Kio 628 Market),Existing,1.38102486670548,103.840682307297,hawker
106,Ang Mo Kio Ave 6 Blk 724 (Blk 724 Ang Mo Kio Market),Existing,1.37219743270044,103.846519219268,hawker
107,Ang Mo Kio Street 22 Blk 226H (Kebun Baru Food Centre),Existing,1.36723014879667,103.839953165937,hawker
108,Bedok Food Centre,Existing,1.32035600765426,103.955474150677,hawker
109,Bedok North Street 1 Blk 216,Existing,1.32706240888967,103.933221544751,hawker
110,Bedok North Street 3 Blk 511 (Kaki Bukit 511 Market and Food Centre),Existing,1.33324627868937,103.930602144469,hawker
111,Bedok North Street 3 Blk 538,Existing,1.33178125123252,103.924844235398,hawker
112,Bedok North Street 4 Blk 85 (85 Fengshan Centre),Existing,1.33198706861747,103.938732580554,hawker
113,Bedok Reservoir Road Blk 630,Existing,1.33315924777343,103.91405388831,hawker
114,Bedok South Road Blk 16,Existing,1.32055216480957,103.93553909635,hawker
115,Bendemeer Road Blk 29 (Bendemeer Market and Food Centre),Existing,1.31921699786807,103.863021377531,hawker
116,Beo Crescent Market,Existing,1.28882210205212,103.827358017197,hawker
117,Berseh Food Centre,Existing,1.30733651651517,103.856853966617,hawker
118,Boon Lay Place Blk 221A/B (Boon Lay Place Market and Food Village),Existing,1.3452231627967,103.712799765872,hawker
119,Buffalo Road Blk 665 (Tekka Centre/Zhu Jiao Market),Existing,1.30620584090733,103.850530969624,hawker
120,Bukit Merah Central Blk 163 (Bukit Merah Central Food Centre),Existing,1.28369258928085,103.816992390295,hawker
121,Bukit Merah Lane 1 Blk 120 (Alexandra Village Food Centre),Existing,1.28629777221659,103.804489277779,hawker
122,Bukit Merah View Blk 115 (Blk 115 Bukit Merah View Market and Food Centre),Existing,1.28550478314618,103.822049361292,hawker
123,Bukit Panjang Hawker Centre,Existing (new),1.37760053528611,103.772489583206,hawker
124,Bukit Timah Market,Existing,1.33937596351523,103.775995008012,hawker
