,Feature,Name,latitude,longtitude
0,Eldercare Services,Yuhua Senior Activity Centre,1.34762352332232,103.731009086814
1,Eldercare Services,THK SAC @ Kaki Bukit,1.33369344925001,103.93039693278
2,Eldercare Services,THK SAC @ Boon Lay,1.3450767624509,103.711850429975
3,Eldercare Services,PEACE-Connect Senior Activity Centre@5,1.30434623485538,103.864815785476
4,Eldercare Services,THK SAC @ Beo Crescent,1.28880916599737,103.826295090766
5,Eldercare Services,Silver ACE @ Bukit Merah,1.28170700809748,103.826839535636
6,Eldercare Services,Lions Befrienders Senior Activity Centre @ Tampines Blk 499C,1.35954026811956,103.956108843521
7,Eldercare Services,Care Corner Senior Activity Centre (WL569),1.43012185434529,103.78971827871
8,Eldercare Services,Fei Yue Senior Activity Centre (Bukit Batok Branch),1.34542846753677,103.750835855563
9,Eldercare Services,COMNET Senior Activity Centre @ 182 Rivervale Crescent,1.3904712621232,103.90921580083
10,Eldercare Services,Abdullah Shooker Jewish Welfare Home,1.30287739060079,103.847199120492
11,Eldercare Services,Adventist Home For The Elders,1.33008102512947,103.858354604578
12,Eldercare Services,AWWA Community Home for Senior Citizens,1.37051051539357,103.844652310114
13,Eldercare Services,Bo Tien Home For The Aged,1.33131242815589,103.718900078748
14,Eldercare Services,"Evergreen Place, Home @Hong San",1.37802603791765,103.745466896683
15,Eldercare Services,Geylang East Home For The Aged,1.32129673696275,103.885667975116
16,Eldercare Services,Henderson Senior Citizens' Home,1.28434759909006,103.821772688088
17,Eldercare Services,Kheng Chiu Loke Tin Kee Home,1.35632292569628,103.946663769483
18,Eldercare Services,PERTAPIS Senior Citizens Fellowship Home,1.34177310289661,103.856039797927
19,Eldercare Services,SBWS Happy Villa (Females),1.27559619819284,103.842393171371
20,Eldercare Services,Singapore Baptist Convention Golden Age Home,1.32036885079082,103.868340800907
21,Eldercare Services,St Andrew's Cathedral Home For The Aged,1.31916901883785,103.769053996153
22,Eldercare Services,St John's Home for the Aged,1.33306475056709,103.873606136778
23,Eldercare Services,St Vincent Home,1.29860886250983,103.852267049825
24,Eldercare Services,Zion Home For The Aged,1.32697958360519,103.928130749709
25,Eldercare Services,NTUC Health Cluster Support @ Taman Jurong,1.33580353495946,103.720313663041
26,Eldercare Services,NTUC Health Cluster Support @ Bt Merah,1.28308470501263,103.822803689153
27,Eldercare Services,THK Cluster Support @ Bedok,1.32040513134518,103.936741206687
28,Eldercare Services,Peace-Connect Cluster Operator,1.30434623485538,103.864815785476
29,Eldercare Services,THK Cluster Support @ Pipit,1.32273477519362,103.888103198129
30,Eldercare Services,THK Cluster Support @ AMK,1.37769117397607,103.842745155365
31,Eldercare Services,AMKFSC Cluster Support,1.36452028588851,103.856631950307
32,Eldercare Services,Carecorner Cluster Suppport,1.33583992843419,103.851278331382
33,Eldercare Services,SACS Cluster Support@Jurong East,1.34961238350034,103.732548014907
34,Eldercare Services,THK Senior Group Home @ AMK257,1.37017011210457,103.835782471666
35,Eldercare Services,THK Senior Group Home @ Indus,1.29107462632884,103.82869017933
36,Eldercare Services,PEACE-Connect Senior Group Home@8,1.30458623347398,103.864004039749
37,Eldercare Services,TOUCH Senior Group Home@Geylang Bahru,1.32231127406246,103.869263056862
38,Eldercare Services,Lions Befrienders Senior Group Home (Mei Ling),1.29457100972605,103.803041801673
39,Eldercare Services,Care Corner SGH @ WL569A,1.43012185434529,103.78971827871
40,Eldercare Services,SACS Senior Group Home @ 373 JE,1.34934885042485,103.732355870198
41,Eldercare Services,Fei Yue Senior Group Home @ Hougang,1.34912216601474,103.889093324154
42,Eldercare Services,COMNET Senior Group Home @ Rivervale Crescent,1.3904712621232,103.90921580083
43,Eldercare Services,Lions Befrienders Senior Group Home @ Tampines 499C,1.35954026811956,103.956108843521
44,Eldercare Services,Fei Yue Senior Group Home @ Teck Whye Crescent,1.38273704126166,103.753517098763
45,Eldercare Services,Care Corner SGH @ WL180C,1.43956071258439,103.778587811164
46,Eldercare Services,THK Senior Group Home @ Pipit Road,1.3231953319744,103.888456812145
47,Eldercare Services,NTUC Health Senior Group Home @ Henderson,1.28434759909006,103.821772688088
48,Eldercare Services,Econ Health and Wellness Centre,1.34531554289951,103.853985125672
49,Eldercare Services,Thye Hua Kwan Moral Charities Limited,1.33818196847316,103.722602550924
50,Eldercare Services,Econ Health and Wellness Centre,1.29399775974495,103.810979212099
51,Eldercare Services,Econ Health and Wellness Centre,1.4308668740444,103.78955465955
52,Eldercare Services,Econ Health and Wellness Centre,1.28994619034672,103.82767972477
53,Eldercare Services,Thye Hua Kwan Moral Charities Limited,1.27347684499305,103.806810313384
54,Eldercare Services,Pacific Activity Centres Pte Ltd,1.43755265384881,103.79469821451
55,Eldercare Services,Econ Health and Wellness Centre,1.39441490001882,103.74514269735
56,Eldercare Services,Econ Health and Wellness Centre,1.34523591984252,103.946197624088
